price,Q_mean,Q_total,elasticity_meanQ,revenue_total
5400.0,0.9265220193862915,463.26100969314575,-0.201467036766127,2501609.452342987
5500.0,0.9230652852058411,461.53264260292053,-0.21059820678754054,2538429.534316063
5600.0,0.9194530777931214,459.72653889656067,-0.2238359171911257,2574468.6178207397
5700.0,0.9157150486707687,457.85752433538437,-0.23918157262523948,2609787.888711691
5800.0,0.9117680895328522,455.8840447664261,-0.25776062697567853,2644127.4596452713
5900.0,0.9076109826564789,453.80549132823944,-0.27514937274521245,2677452.3988366127
6000.0,0.9033027135133743,451.65135675668716,-0.2923635309227754,2709908.140540123
6100.0,0.8988078902959824,449.4039451479912,-0.31256514940868013,2741364.065402746
6200.0,0.8940916963815689,447.04584819078445,-0.3343582551962457,2771684.2587828636
6300.0,0.8891644406318665,444.5822203159332,-0.3575684204424636,2800867.9879903793
6400.0,0.8839984543323517,441.99922716617584,-0.38117709720057413,2828795.0538635254
6500.0,0.8786344417333602,439.31722086668015,-0.4045925911777053,2855561.935633421
6600.0,0.8730603317022324,436.5301658511162,-0.4307183383502034,2881099.094617367
6700.0,0.8672391964197159,433.61959820985794,-0.45862542972565035,2905251.308006048
6800.0,0.8611875571012497,430.59377855062485,-0.4871709730234431,2928037.694144249
6900.0,0.8548996205329895,427.44981026649475,-0.515519524125631,2949403.690838814
7000.0,0.8484131383895874,424.2065691947937,-0.5437356745574072,2969445.984363556
7100.0,0.8417192636728287,420.85963183641434,-0.5730798426517429,2988103.386038542
7200.0,0.8348251850605011,417.41259253025055,-0.5989690118925806,3005370.666217804
7300.0,0.8278294187784195,413.91470938920975,-0.6263308119350134,3021577.378541231
7400.0,0.8206198406219483,410.3099203109741,-0.6563314337667876,3036293.4103012085
7500.0,0.8132726999521256,406.6363499760628,-0.6815094822167553,3049772.624820471
7600.0,0.8058397591114044,402.9198795557022,-0.7015501873603763,3062191.084623337
7700.0,0.7983954095840454,399.1977047920227,-0.7216386643022763,3073822.326898575
7800.0,0.7908747462034226,395.4373731017113,-0.7448711361847623,3084411.510193348
7900.0,0.7832902872562408,391.6451436281204,-0.7757754436340935,3093996.6346621513
8000.0,0.7754910153150558,387.7455076575279,-0.8082171357296405,3101964.0612602234
8100.0,0.7676211590766907,383.81057953834534,-0.8342018285040577,3108865.694260597
8200.0,0.7596798801422119,379.83994007110596,-0.8249251456620116,3114687.508583069
8300.0,0.7523363045454026,376.16815227270126,-0.7763486335978772,3122195.6638634205
8400.0,0.7456057774424553,372.80288872122765,-0.7384760840860927,3131544.265258312
